,timepoint,weight,marginal,celltype
507,14.25,100,target_marginals,Primordial_germ_cells
508,14.25,20,target_marginals,T_cells
509,14.25,800,target_marginals,Testis_and_adrenal
510,14.25,7/8,target_marginals,White_blood_cells
511,14.33,20,target_marginals,Aidpocytes
512,14.33,7,target_marginals,B_cells
513,14.33,50,target_marginals,Cardiocytes
514,14.33,3/4,target_marginals,CNS_neurons
515,14.33,4,target_marginals,Endothelium
516,14.33,2/3,target_marginals,Definitive_erythroid
517,14.33,2,target_marginals,Ependymal_cells
518,14.33,3,target_marginals,Epithelial_cells
519,14.33,10,target_marginals,Eye_and_other
520,14.33,20,target_marginals,Glands
521,14.33,50,target_marginals,Gut
522,14.33,5,target_marginals,Intermediate_mesoderm_and_kidney
523,14.33,6,target_marginals,Intestine
524,14.33,8,target_marginals,Lung_and_airways
525,14.33,9,target_marginals,Mast_cells
526,14.33,2,target_marginals,Megakaryocytes
527,14.33,2/3,target_marginals,Mesoderm
528,14.33,8,target_marginals,Neural_crest_PNS_glia
529,14.33,10,target_marginals,Neural_crest_PNS_neurons
530,14.33,3/4,target_marginals,Neuroectoderm_and_glia
531,14.33,3,target_marginals,Olidendrocytes
532,14.33,3,target_marginals,Olfactory_sensory_neurons
533,14.33,120,target_marginals,Primitive_erythroid
534,14.33,120,target_marginals,Primordial_germ_cells
535,14.33,65,target_marginals,T_cells
536,14.33,65,target_marginals,Testis_and_adrenal
537,14.33,1/2,target_marginals,White_blood_cells
538,14.75,7,target_marginals,Aidpocytes
539,14.75,3,target_marginals,B_cells
540,14.75,2/3,target_marginals,CNS_neurons
541,14.75,2,target_marginals,Cardiocytes
542,14.75,1/2,target_marginals,Definitive_erythroid
543,14.75,3,target_marginals,Ependymal_cells
544,14.75,2,target_marginals,Epithelial_cells
545,14.75,8,target_marginals,Eye_and_other
546,14.75,70,target_marginals,Glands
547,14.75,15,target_marginals,Gut
548,14.75,7,target_marginals,Intermediate_mesoderm_and_kidney
549,14.75,6,target_marginals,Intestine
550,14.75,3/2,target_marginals,Lung_and_airways
551,14.75,10,target_marginals,Mast_cells
552,14.75,3,target_marginals,Megakaryocytes
553,14.75,7/8,target_marginals,Mesoderm
554,14.75,1,target_marginals,Muscle_cells
555,14.75,8,target_marginals,Neural_crest_PNS_glia
556,14.75,2,target_marginals,Neural_crest_PNS_neurons
557,14.75,1,target_marginals,Neuroectoderm_and_glia
558,14.75,5,target_marginals,Olfactory_sensory_neurons
559,14.75,5,target_marginals,Olidendrocytes
560,14.75,1000,target_marginals,Primitive_erythroid
561,14.75,160,target_marginals,Primordial_germ_cells
562,14.75,40,target_marginals,T_cells
563,14.75,45,target_marginals,Testis_and_adrenal
564,14.75,2,target_marginals,White_blood_cells
565,15.0,14,target_marginals,Aidpocytes
566,15.0,8,target_marginals,B_cells
567,15.0,1/2,target_marginals,CNS_neurons
568,15.0,10,target_marginals,Cardiocytes
569,15.0,3/4,target_marginals,Definitive_erythroid
570,15.0,4,target_marginals,Endothelium
571,15.0,14,target_marginals,Ependymal_cells
572,15.0,2,target_marginals,Epithelial_cells
573,15.0,4,target_marginals,Eye_and_other
574,15.0,60,target_marginals,Glands
575,15.0,15,target_marginals,Gut
576,15.0,3,target_marginals,Intermediate_mesoderm_and_kidney
577,15.0,4,target_marginals,Intestine
578,15.0,2,target_marginals,Lung_and_airways
579,15.0,7,target_marginals,Mast_cells
580,15.0,3/4,target_marginals,Megakaryocytes
581,15.0,6/8,target_marginals,Mesoderm
582,15.0,2,target_marginals,Muscle_cells
583,15.0,9,target_marginals,Neural_crest_PNS_glia
584,15.0,7/8,target_marginals,Neuroectoderm_and_glia
585,15.0,4,target_marginals,Olfactory_sensory_neurons
586,15.0,2,target_marginals,Olidendrocytes
587,15.0,1000,target_marginals,Primitive_erythroid
588,15.0,30,target_marginals,Primordial_germ_cells
589,15.0,50,target_marginals,T_cells
590,15.0,300,target_marginals,Testis_and_adrenal
591,15.25,8,target_marginals,Aidpocytes
592,15.25,3,target_marginals,B_cells
593,15.25,5,target_marginals,Cardiocytes
594,15.25,1/2,target_marginals,Definitive_erythroid
595,15.25,3,target_marginals,Endothelium
596,15.25,8,target_marginals,Ependymal_cells
597,15.25,2,target_marginals,Epithelial_cells
598,15.25,3,target_marginals,Eye_and_other
599,15.25,70,target_marginals,Glands
600,15.25,15,target_marginals,Gut
601,15.25,2,target_marginals,Intermediate_mesoderm_and_kidney
602,15.25,3,target_marginals,Intestine
603,15.25,6,target_marginals,Mast_cells
604,15.25,7/8,target_marginals,Mesoderm
605,15.25,3/2,target_marginals,Muscle_cells
606,15.25,10,target_marginals,Neural_crest_PNS_glia
607,15.25,4,target_marginals,Neural_crest_PNS_neurons
608,15.25,2,target_marginals,Neuroectoderm_and_glia
609,15.25,4,target_marginals,Olfactory_sensory_neurons
610,15.25,4,target_marginals,Olidendrocytes
611,15.25,1000,target_marginals,Primitive_erythroid
612,15.25,150,target_marginals,Primordial_germ_cells
613,15.25,20,target_marginals,T_cells
614,15.25,35,target_marginals,Testis_and_adrenal
615,15.25,2/3,target_marginals,White_blood_cells
616,15.5,10,target_marginals,Aidpocytes
617,15.5,10,target_marginals,B_cells
618,15.5,3/2,target_marginals,CNS_neurons
619,15.5,50,target_marginals,Cardiocytes
620,15.5,3,target_marginals,Definitive_erythroid
621,15.5,8,target_marginals,Endothelium
622,15.5,40,target_marginals,Ependymal_cells
623,15.5,5,target_marginals,Epithelial_cells
624,15.5,5,target_marginals,Eye_and_other
625,15.5,800,target_marginals,Glands
626,15.5,20,target_marginals,Gut
627,15.5,7,target_marginals,Hepatocytes
628,15.5,10,target_marginals,Intermediate_mesoderm_and_kidney
629,15.5,5,target_marginals,Intermediate_neuronal_progenitors
630,15.5,8,target_marginals,Intestine
631,15.5,4,target_marginals,Lung_and_airways
632,15.5,30,target_marginals,Mast_cells
633,15.5,5,target_marginals,Megakaryocytes
634,15.5,3/2,target_marginals,Mesoderm
635,15.5,2,target_marginals,Muscle_cells
636,15.5,25,target_marginals,Neural_crest_PNS_glia
637,15.5,5,target_marginals,Neural_crest_PNS_neurons
638,15.5,3,target_marginals,Neuroectoderm_and_glia
639,15.5,7,target_marginals,Olfactory_sensory_neurons
640,15.5,8,target_marginals,Olidendrocytes
641,15.5,300,target_marginals,Primordial_germ_cells
642,15.5,120,target_marginals,T_cells
643,15.5,150,target_marginals,Testis_and_adrenal
644,15.5,5,target_marginals,White_blood_cells
645,15.75,4,target_marginals,Aidpocytes
646,15.75,4,target_marginals,B_cells
647,15.75,10,target_marginals,Cardiocytes
648,15.75,3/4,target_marginals,Definitive_erythroid
649,15.75,2,target_marginals,Endothelium
650,15.75,10,target_marginals,Ependymal_cells
651,15.75,2,target_marginals,Epithelial_cells
652,15.75,4,target_marginals,Eye_and_other
653,15.75,70,target_marginals,Glands
654,15.75,10,target_marginals,Gut
655,15.75,4,target_marginals,Intermediate_mesoderm_and_kidney
656,15.75,4,target_marginals,Intestine
657,15.75,2,target_marginals,Lung_and_airways
658,15.75,13,target_marginals,Mast_cells
659,15.75,5,target_marginals,Megakaryocytes
660,15.75,2/3,target_marginals,Mesoderm
661,15.75,1,target_marginals,Muscle_cells
662,15.75,8,target_marginals,Neural_crest_PNS_glia
663,15.75,10,target_marginals,Neural_crest_PNS_neurons
664,15.75,2,target_marginals,Neuroectoderm_and_glia
665,15.75,10,target_marginals,Olfactory_sensory_neurons
666,15.75,3,target_marginals,Olidendrocytes
667,15.75,200,target_marginals,Primordial_germ_cells
668,15.75,30,target_marginals,T_cells
669,15.75,40,target_marginals,Testis_and_adrenal
670,15.75,1,target_marginals,White_blood_cells
671,16.0,3,target_marginals,Aidpocytes
672,16.0,5,target_marginals,B_cells
673,16.0,7/8,target_marginals,CNS_neurons
674,16.0,2,target_marginals,Cardiocytes
675,16.0,7/8,target_marginals,Definitive_erythroid
676,16.0,3,target_marginals,Endothelium
677,16.0,4,target_marginals,Ependymal_cells
678,16.0,3,target_marginals,Epithelial_cells
679,16.0,6,target_marginals,Eye_and_other
680,16.0,35,target_marginals,Glands
681,16.0,10,target_marginals,Gut
682,16.0,5,target_marginals,Intermediate_mesoderm_and_kidney
683,16.0,6,target_marginals,Intestine
684,16.0,2,target_marginals,Lung_and_airways
685,16.0,14,target_marginals,Mast_cells
686,16.0,5,target_marginals,Megakaryocytes
687,16.0,9/10,target_marginals,Mesoderm
688,16.0,3/2,target_marginals,Muscle_cells
689,16.0,15,target_marginals,Neural_crest_PNS_glia
690,16.0,3,target_marginals,Neural_crest_PNS_neurons
691,16.0,3,target_marginals,Neuroectoderm_and_glia
692,16.0,20,target_marginals,Olfactory_sensory_neurons
693,16.0,7,target_marginals,Olidendrocytes
694,16.0,200,target_marginals,Primordial_germ_cells
695,16.0,35,target_marginals,T_cells
696,16.0,40,target_marginals,Testis_and_adrenal
697,16.0,2,target_marginals,White_blood_cells
698,16.25,20,target_marginals,Aidpocytes
699,16.25,55,target_marginals,B_cells
700,16.25,3,target_marginals,CNS_neurons
701,16.25,5,target_marginals,Definitive_erythroid
702,16.25,55,target_marginals,Cardiocytes
703,16.25,6,target_marginals,Endothelium
704,16.25,10,target_marginals,Ependymal_cells
705,16.25,10,target_marginals,Epithelial_cells
706,16.25,30,target_marginals,Eye_and_other
707,16.25,30,target_marginals,Glands
708,16.25,40,target_marginals,Gut
709,16.25,5,target_marginals,Hepatocytes
710,16.25,25,target_marginals,Intermediate_mesoderm_and_kidney
711,16.25,8,target_marginals,Intermediate_neuronal_progenitors
712,16.25,10,target_marginals,Intestine
713,16.25,15,target_marginals,Lung_and_airways
714,16.25,25,target_marginals,Mast_cells
715,16.25,25,target_marginals,Megakaryocytes
716,16.25,2,target_marginals,Mesoderm
717,16.25,5,target_marginals,Muscle_cells
718,16.25,50,target_marginals,Neural_crest_PNS_glia
719,16.25,10,target_marginals,Neural_crest_PNS_neurons
720,16.25,8,target_marginals,Neuroectoderm_and_glia
721,16.25,40,target_marginals,Olfactory_sensory_neurons
722,16.25,50,target_marginals,Olidendrocytes
723,16.25,1000,target_marginals,Primordial_germ_cells
724,16.25,130,target_marginals,T_cells
725,16.25,300,target_marginals,Testis_and_adrenal
726,16.25,7,target_marginals,White_blood_cells
727,16.5,7,target_marginals,Aidpocytes
728,16.5,30,target_marginals,B_cells
729,16.5,2,target_marginals,CNS_neurons
730,16.5,3,target_marginals,Cardiocytes
731,16.5,3,target_marginals,Definitive_erythroid
732,16.5,4,target_marginals,Endothelium
733,16.5,2,target_marginals,Ependymal_cells
734,16.5,4,target_marginals,Epithelial_cells
735,16.5,30,target_marginals,Eye_and_other
736,16.5,100,target_marginals,Glands
737,16.5,30,target_marginals,Gut
738,16.5,2,target_marginals,Hepatocytes
739,16.5,7,target_marginals,Intermediate_mesoderm_and_kidney
740,16.5,3,target_marginals,Intermediate_neuronal_progenitors
741,16.5,6,target_marginals,Intestine
742,16.5,6,target_marginals,Lung_and_airways
743,16.5,20,target_marginals,Mast_cells
744,16.5,6,target_marginals,Megakaryocytes
745,16.5,2,target_marginals,Mesoderm
746,16.5,2,target_marginals,Muscle_cells
747,16.5,22,target_marginals,Neural_crest_PNS_glia
748,16.5,4,target_marginals,Neural_crest_PNS_neurons
749,16.5,5,target_marginals,Neuroectoderm_and_glia
750,16.5,25,target_marginals,Olfactory_sensory_neurons
751,16.5,25,target_marginals,Olidendrocytes
752,16.5,1000,target_marginals,Primordial_germ_cells
753,16.5,30,target_marginals,T_cells
754,16.5,50,target_marginals,Testis_and_adrenal
755,16.5,3,target_marginals,White_blood_cells
756,16.75,10,source_marginals,White_blood_cells
757,16.75,16,target_marginals,Aidpocytes
758,16.75,35,target_marginals,B_cells
759,16.75,4,target_marginals,CNS_neurons
760,16.75,60,target_marginals,Cardiocytes
761,16.75,2,target_marginals,Definitive_erythroid
762,16.75,15,target_marginals,Endothelium
763,16.75,40,target_marginals,Ependymal_cells
764,16.75,15,target_marginals,Epithelial_cells
765,16.75,20,target_marginals,Eye_and_other
766,16.75,30,target_marginals,Glands
767,16.75,150,target_marginals,Gut
768,16.75,4,target_marginals,Hepatocytes
769,16.75,25,target_marginals,Intermediate_mesoderm_and_kidney
770,16.75,2,target_marginals,Intermediate_neuronal_progenitors
771,16.75,40,target_marginals,Intestine
772,16.75,10,target_marginals,Lung_and_airways
773,16.75,40,target_marginals,Mast_cells
774,16.75,60,target_marginals,Megakaryocytes
775,16.75,3,target_marginals,Mesoderm
776,16.75,8,target_marginals,Muscle_cells
777,16.75,60,target_marginals,Neural_crest_PNS_glia
778,16.75,10,target_marginals,Neural_crest_PNS_neurons
779,16.75,3,target_marginals,Neuroectoderm_and_glia
780,16.75,25,target_marginals,Olfactory_sensory_neurons
781,16.75,30,target_marginals,Olidendrocytes
782,16.75,1000,target_marginals,Primordial_germ_cells
783,16.75,50,target_marginals,T_cells
784,16.75,600,target_marginals,Testis_and_adrenal
785,16.75,10,target_marginals,White_blood_cells
786,17.0,200,target_marginals,Aidpocytes
787,17.0,1000,target_marginals,B_cells
788,17.0,100,target_marginals,CNS_neurons
789,17.0,1000,target_marginals,Cardiocytes
790,17.0,140,target_marginals,Definitive_erythroid
791,17.0,400,target_marginals,Endothelium
792,17.0,1000,target_marginals,Ependymal_cells
793,17.0,160,target_marginals,Epithelial_cells
794,17.0,300,target_marginals,Eye_and_other
795,17.0,1000,target_marginals,Glands
796,17.0,1000,target_marginals,Gut
797,17.0,150,target_marginals,Hepatocytes
798,17.0,250,target_marginals,Intermediate_mesoderm_and_kidney
799,17.0,150,target_marginals,Intermediate_neuronal_progenitors
800,17.0,350,target_marginals,Intestine
801,17.0,240,target_marginals,Lung_and_airways
802,17.0,450,target_marginals,Mast_cells
803,17.0,1000,target_marginals,Megakaryocytes
804,17.0,145,target_marginals,Mesoderm
805,17.0,450,target_marginals,Muscle_cells
806,17.0,1000,target_marginals,Neural_crest_PNS_glia
807,17.0,1000,target_marginals,Neural_crest_PNS_neurons
808,17.0,200,target_marginals,Neuroectoderm_and_glia
809,17.0,1000,target_marginals,Olfactory_sensory_neurons
810,17.0,450,target_marginals,Olidendrocytes
811,17.0,1000,target_marginals,Primordial_germ_cells
812,17.0,800,target_marginals,T_cells
813,17.0,1000,target_marginals,Testis_and_adrenal
814,17.0,150,target_marginals,White_blood_cells
815,17.25,350,target_marginals,Aidpocytes
816,17.25,1000,target_marginals,B_cells
817,17.25,300,target_marginals,CNS_neurons
818,17.25,1000,target_marginals,Cardiocytes
819,17.25,500,target_marginals,Definitive_erythroid
820,17.25,700,target_marginals,Endothelium
821,17.25,1000,target_marginals,Ependymal_cells
822,17.25,600,target_marginals,Epithelial_cells
823,17.25,1000,target_marginals,Eye_and_other
824,17.25,1000,target_marginals,Glands
825,17.25,1000,target_marginals,Gut
826,17.25,450,target_marginals,Hepatocytes
827,17.25,1000,target_marginals,Intermediate_mesoderm_and_kidney
828,17.25,500,target_marginals,Intermediate_neuronal_progenitors
829,17.25,1000,target_marginals,Intestine
830,17.25,450,target_marginals,Lung_and_airways
831,17.25,1000,target_marginals,Mast_cells
832,17.25,1000,target_marginals,Megakaryocytes
833,17.25,150,target_marginals,Mesoderm
834,17.25,170,target_marginals,Muscle_cells
835,17.25,1000,target_marginals,Neural_crest_PNS_glia
836,17.25,1000,target_marginals,Neural_crest_PNS_neurons
837,17.25,500,target_marginals,Neuroectoderm_and_glia
838,17.25,700,target_marginals,Olfactory_sensory_neurons
839,17.25,1000,target_marginals,Olidendrocytes
840,17.25,1000,target_marginals,Primordial_germ_cells
841,17.25,1000,target_marginals,T_cells
842,17.25,4000,target_marginals,Testis_and_adrenal
843,17.25,300,target_marginals,White_blood_cells
844,17.5,10,target_marginals,Aidpocytes
845,17.5,40,target_marginals,B_cells
846,17.5,5,target_marginals,CNS_neurons
847,17.5,100,target_marginals,Cardiocytes
848,17.5,10,target_marginals,Definitive_erythroid
849,17.5,24,target_marginals,Endothelium
850,17.5,100,target_marginals,Ependymal_cells
851,17.5,17,target_marginals,Epithelial_cells
852,17.5,30,target_marginals,Eye_and_other
853,17.5,100,target_marginals,Glands
854,17.5,100,target_marginals,Gut
855,17.5,9,target_marginals,Hepatocytes
856,17.5,40,target_marginals,Intermediate_mesoderm_and_kidney
857,17.5,15/2,target_marginals,Intermediate_neuronal_progenitors
858,17.5,30,target_marginals,Intestine
859,17.5,15,target_marginals,Lung_and_airways
860,17.5,35,target_marginals,Mast_cells
861,17.5,100,target_marginals,Megakaryocytes
862,17.5,4,target_marginals,Mesoderm
863,17.5,15,target_marginals,Muscle_cells
864,17.5,50,target_marginals,Neural_crest_PNS_glia
865,17.5,30,target_marginals,Neural_crest_PNS_neurons
866,17.5,6,target_marginals,Neuroectoderm_and_glia
867,17.5,60,target_marginals,Olfactory_sensory_neurons
868,17.5,25,target_marginals,Olidendrocytes
869,17.5,100,target_marginals,Primordial_germ_cells
870,17.5,20,target_marginals,T_cells
871,17.5,100,target_marginals,Testis_and_adrenal
872,17.5,6,target_marginals,White_blood_cells
873,17.75,100,target_marginals,Aidpocytes
874,17.75,800,target_marginals,B_cells
875,17.75,180,target_marginals,CNS_neurons
876,17.75,500,target_marginals,Cardiocytes
877,17.75,100,target_marginals,Definitive_erythroid
878,17.75,150,target_marginals,Endothelium
879,17.75,1000,target_marginals,Ependymal_cells
880,17.75,130,target_marginals,Epithelial_cells
881,17.75,1000,target_marginals,Eye_and_other
882,17.75,1000,target_marginals,Glands
883,17.75,1000,target_marginals,Gut
884,17.75,150,target_marginals,Hepatocytes
885,17.75,500,target_marginals,Intermediate_mesoderm_and_kidney
886,17.75,400,target_marginals,Intermediate_neuronal_progenitors
887,17.75,220,target_marginals,Intestine
888,17.75,200,target_marginals,Lung_and_airways
889,17.75,500,target_marginals,Mast_cells
890,17.75,1000,target_marginals,Megakaryocytes
891,17.75,50,target_marginals,Mesoderm
892,17.75,70,target_marginals,Muscle_cells
893,17.75,1000,target_marginals,Neural_crest_PNS_glia
894,17.75,1000,target_marginals,Neural_crest_PNS_neurons
895,17.75,400,target_marginals,Neuroectoderm_and_glia
896,17.75,1000,target_marginals,Olfactory_sensory_neurons
897,17.75,700,target_marginals,Olidendrocytes
898,17.75,1000,target_marginals,Primordial_germ_cells
899,17.75,300,target_marginals,T_cells
900,17.75,1000,target_marginals,Testis_and_adrenal
901,17.75,150,target_marginals,White_blood_cells
902,18.0,120,target_marginals,Aidpocytes
903,18.0,300,target_marginals,B_cells
904,18.0,80,target_marginals,CNS_neurons
905,18.0,1000,target_marginals,Cardiocytes
906,18.0,300,target_marginals,Definitive_erythroid
907,18.0,350,target_marginals,Endothelium
908,18.0,1000,target_marginals,Ependymal_cells
909,18.0,450,target_marginals,Epithelial_cells
910,18.0,500,target_marginals,Eye_and_other
911,18.0,1000,target_marginals,Glands
912,18.0,1000,target_marginals,Gut
913,18.0,440,target_marginals,Hepatocytes
914,18.0,225,target_marginals,Intermediate_mesoderm_and_kidney
915,18.0,100,target_marginals,Intermediate_neuronal_progenitors
916,18.0,300,target_marginals,Intestine
917,18.0,250,target_marginals,Lung_and_airways
918,18.0,700,target_marginals,Mast_cells
919,18.0,1000,target_marginals,Megakaryocytes
920,18.0,55,target_marginals,Mesoderm
921,18.0,300,target_marginals,Muscle_cells
922,18.0,1000,target_marginals,Neural_crest_PNS_glia
923,18.0,700,target_marginals,Neural_crest_PNS_neurons
924,18.0,300,target_marginals,Neuroectoderm_and_glia
925,18.0,300,target_marginals,Olfactory_sensory_neurons
926,18.0,400,target_marginals,Olidendrocytes
927,18.0,1000,target_marginals,Primordial_germ_cells
928,18.0,300,target_marginals,T_cells
929,18.0,1000,target_marginals,Testis_and_adrenal
930,18.0,80,target_marginals,White_blood_cells
931,18.25,50,target_marginals,Aidpocytes
932,18.25,300,target_marginals,B_cells
933,18.25,50,target_marginals,CNS_neurons
934,18.25,300,target_marginals,Cardiocytes
935,18.25,50,target_marginals,Definitive_erythroid
936,18.25,70,target_marginals,Endothelium
937,18.25,1000,target_marginals,Ependymal_cells
938,18.25,70,target_marginals,Epithelial_cells
939,18.25,300,target_marginals,Eye_and_other
940,18.25,1000,target_marginals,Glands
941,18.25,700,target_marginals,Gut
942,18.25,35,target_marginals,Hepatocytes
943,18.25,80,target_marginals,Intermediate_mesoderm_and_kidney
944,18.25,180,target_marginals,Intermediate_neuronal_progenitors
945,18.25,250,target_marginals,Intestine
946,18.25,120,target_marginals,Lung_and_airways
947,18.25,120,target_marginals,Mast_cells
948,18.25,1000,target_marginals,Megakaryocytes
949,18.25,25,target_marginals,Mesoderm
950,18.25,35,target_marginals,Muscle_cells
951,18.25,180,target_marginals,Neural_crest_PNS_glia
952,18.25,500,target_marginals,Neural_crest_PNS_neurons
953,18.25,80,target_marginals,Neuroectoderm_and_glia
954,18.25,400,target_marginals,Olfactory_sensory_neurons
955,18.25,200,target_marginals,Olidendrocytes
956,18.25,1000,target_marginals,Primordial_germ_cells
957,18.25,120,target_marginals,T_cells
958,18.25,700,target_marginals,Testis_and_adrenal
959,18.25,25,target_marginals,White_blood_cells
960,18.5,70,target_marginals,Aidpocytes
961,18.5,200,target_marginals,B_cells
962,18.5,30,target_marginals,CNS_neurons
963,18.5,300,target_marginals,Cardiocytes
964,18.5,40,target_marginals,Definitive_erythroid
965,18.5,120,target_marginals,Endothelium
966,18.5,600,target_marginals,Ependymal_cells
967,18.5,130,target_marginals,Epithelial_cells
968,18.5,120,target_marginals,Eye_and_other
969,18.5,1000,target_marginals,Glands
970,18.5,250,target_marginals,Gut
971,18.5,70,target_marginals,Hepatocytes
972,18.5,150,target_marginals,Intermediate_mesoderm_and_kidney
973,18.5,90,target_marginals,Intermediate_neuronal_progenitors
974,18.5,200,target_marginals,Intestine
975,18.5,150,target_marginals,Lung_and_airways
976,18.5,120,target_marginals,Mast_cells
977,18.5,600,target_marginals,Megakaryocytes
978,18.5,24,target_marginals,Mesoderm
979,18.5,80,target_marginals,Muscle_cells
980,18.5,450,target_marginals,Neural_crest_PNS_glia
981,18.5,300,target_marginals,Neural_crest_PNS_neurons
982,18.5,130,target_marginals,Neuroectoderm_and_glia
983,18.5,200,target_marginals,Olfactory_sensory_neurons
984,18.5,90,target_marginals,Olidendrocytes
985,18.5,1000,target_marginals,Primordial_germ_cells
986,18.5,60,target_marginals,T_cells
987,18.5,800,target_marginals,Testis_and_adrenal
988,18.5,25,target_marginals,White_blood_cells
989,18.75,200,target_marginals,Aidpocytes
990,18.75,200,target_marginals,B_cells
991,18.75,30,target_marginals,CNS_neurons
992,18.75,150,target_marginals,Cardiocytes
993,18.75,90,target_marginals,Definitive_erythroid
994,18.75,40,target_marginals,Endothelium
995,18.75,400,target_marginals,Ependymal_cells
996,18.75,120,target_marginals,Epithelial_cells
997,18.75,100,target_marginals,Eye_and_other
998,18.75,400,target_marginals,Glands
999,18.75,700,target_marginals,Gut
1000,18.75,150,target_marginals,Hepatocytes
1001,18.75,180,target_marginals,Intermediate_mesoderm_and_kidney
1002,18.75,50,target_marginals,Intermediate_neuronal_progenitors
1003,18.75,400,target_marginals,Intestine
1004,18.75,200,target_marginals,Lung_and_airways
1005,18.75,300,target_marginals,Mast_cells
1006,18.75,800,target_marginals,Megakaryocytes
1007,18.75,25,target_marginals,Mesoderm
1008,18.75,60,target_marginals,Muscle_cells
1009,18.75,250,target_marginals,Neural_crest_PNS_glia
1010,18.75,450,target_marginals,Neural_crest_PNS_neurons
1011,18.75,30,target_marginals,Neuroectoderm_and_glia
1012,18.75,100,target_marginals,Olfactory_sensory_neurons
1013,18.75,100,target_marginals,Olidendrocytes
1014,18.75,500,target_marginals,Primordial_germ_cells
1015,18.75,100,target_marginals,T_cells
1016,18.75,1000,target_marginals,Testis_and_adrenal
1017,18.75,30,target_marginals,White_blood_cells
